feature,delta_state_roll,delta_state_pitch,delta_state_yaw,delta_state_roll_rate,delta_state_pitch_rate,delta_state_yaw_rate,delta_state_position_x,delta_state_position_y,delta_state_position_z,delta_state_velocity_x,delta_state_velocity_y,delta_state_velocity_z,delta_state_altitude,delta_state_vertical_speed,delta_state_heading
yaw__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-1746.9010125453394,7368.5725108479855,-0.0003423210459951266,-0.0009455497148977586,0.0009593972142180663,-0.000970733031106688,0.0003423210459951266,0.000970733031106688,0.0
roll_rate__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,4330.43055826956,-18266.11174469344,0.0004929843482763159,-0.0021784152311081573,-0.0026302937104645215,0.0015288608284522625,-0.0004929843482763159,-0.0015288608284522625,0.0
pitch_rate__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-1896.027225867067,7997.601875905196,-0.00045540958959160226,-0.00021515145576212163,0.0003727683194597554,-0.0013736906618746511,0.00045540958959160226,0.0013736906618746511,0.0
yaw_rate__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,9555.832518889018,-40307.26485194487,0.0008101859762646832,-0.006469462627210205,-0.011565969752679124,0.010834704350101886,-0.0008101859762646832,-0.010834704350101886,0.0
position_x__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0034522082738079373,-0.014561707161750117,-1.1406197233772744e-11,-3.668324222346772e-11,-1.3702041303180137e-11,1.107665674111154e-09,1.1406197233772744e-11,-1.107665674111154e-09,0.0
position_y__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008184716780812152,0.0034523829237696527,2.7081695012780533e-12,8.68986129878966e-12,3.2335775138421246e-12,-2.625941240226888e-10,-2.7081695012780533e-12,2.625941240226888e-10,0.0
position_z__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,14128.752117178821,-59596.274168153526,-0.013164689328722775,-0.0014375025862006603,-0.000671643000879106,0.0010292060718914363,0.013164689328722775,-0.0010292060718914363,0.0
velocity_x__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,336891.6889947988,-1421036.8828583,0.03555610019204701,-0.5981101660280657,-0.10258499890084723,0.004848002894590597,-0.03555610019204701,-0.004848002894590597,0.0
velocity_y__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-265132.6618186104,1118352.0530813928,-0.05389966394643133,-0.012885953331488412,-0.43053347512574436,-0.029424925583931238,0.05389966394643133,0.029424925583931238,0.0
velocity_z__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,10835.797206223067,-45706.322997378316,-0.006558789394025814,0.013992549055811845,0.012159503960707481,-0.2311889144360002,0.006558789394025814,0.2311889144360002,0.0
altitude__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-14128.752117178821,59596.27416815353,0.013164689328722775,0.0014375025862006586,0.000671643000879106,-0.0010292060718914368,-0.013164689328722775,0.0010292060718914368,0.0
vertical_speed__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-10835.797206186033,45706.32299738381,0.006558789393972331,-0.013992549055808849,-0.012159503960706638,0.23118891443600764,-0.006558789393972331,-0.23118891443600764,0.0
heading__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-1746.9010125453406,7368.572510847985,-0.0003423210459676738,-0.0009455497148976565,0.0009593972142180151,-0.0009707330311079058,0.0003423210459676738,0.0009707330311079058,0.0
command_roll__lag_3,0.0,0.0,0.0,0.0,0.0,0.0,-2806666.9695430226,11838759.157708772,0.033681831820588405,-0.011291942072299728,-0.11518562376662385,-0.006207571327091174,-0.033681831820588405,0.006207571327091174,0.0
command_pitch__lag_3,0.0,0.0,0.0,0.0,0.0,0.0,-4383453.656313453,18489779.30976869,-0.06846588573948079,0.050194153016745034,0.07383357266188573,-0.1739208708353708,0.06846588573948079,0.1739208708353708,0.0
command_yaw__lag_3,0.0,0.0,0.0,0.0,0.0,0.0,1730073.9122946374,-7297598.71783595,0.06605141019769047,-0.09300673186923895,0.05495493276378397,0.32587906093675445,-0.06605141019769047,-0.32587906093675445,0.0
