feature,delta_state_roll,delta_state_pitch,delta_state_yaw,delta_state_roll_rate,delta_state_pitch_rate,delta_state_yaw_rate,delta_state_position_x,delta_state_position_y,delta_state_position_z,delta_state_velocity_x,delta_state_velocity_y,delta_state_velocity_z,delta_state_altitude,delta_state_vertical_speed,delta_state_heading
roll__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,130478.00705430607,-550364.8376775117,0.1941184666981621,-0.21677391380594122,-0.3969620205827336,0.23618068271360934,-0.1941184666981621,-0.23618068271360934,0.0
pitch__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,227144.38110784255,-958112.408034485,-0.029421312760357657,0.1331928587246806,0.02437992773288636,-0.10402295289482189,0.029421312760357657,0.10402295289482189,0.0
yaw__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-584.2721635966632,2464.487795388628,-0.0017441325351560523,0.0011353642063837897,0.0038004708052612334,-0.0024058626578776386,0.0017441325351560523,0.0024058626578776386,0.0
roll_rate__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,4419.686083122834,-18642.588052805622,0.0016917986343310551,-0.0019747040617745016,-0.004299350751721979,0.0029586428677852777,-0.0016917986343310551,-0.0029586428677852777,0.0
pitch_rate__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-10660.776491951197,44967.992172618506,-0.002067000698983834,-0.0072414051920009,0.0007306842276666374,0.0006187834989567216,0.002067000698983834,-0.0006187834989567216,0.0
yaw_rate__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-1410.540563880163,5949.776455130092,-0.0018985435426319558,0.0010278704013351573,-0.00025509181760937266,0.0035493391551343683,0.0018985435426319558,-0.0035493391551343683,0.0
position_x__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,56908.883593125065,-240045.61998301718,-0.03359666448509782,-0.038025445491814136,0.1063064206937783,-0.012426446335341542,0.03359666448509782,0.012426446335341542,0.0
position_y__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,13491.638594055821,-56908.66779341392,-0.007964909730009267,-0.009014860416688178,0.02520253300343643,-0.0029459926925551857,0.007964909730009267,0.0029459926925551857,0.0
position_z__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-113556.95633596458,478992.9131572528,0.0037964932341417084,-0.004469492140033041,-0.005559158114531501,-0.007500423859472836,-0.0037964932341417084,0.007500423859472836,0.0
velocity_x__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,215430.72567395063,-908704.6250385809,0.15515062030917698,-0.10119271990806014,-0.16751889459699626,0.445234797434279,-0.15515062030917698,-0.445234797434279,0.0
velocity_y__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,52511.97937838118,-221499.17361765468,0.3224906846182689,-0.13881332416535336,-0.19118074637414062,0.0712772871733878,-0.3224906846182689,-0.0712772871733878,0.0
velocity_z__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,97404.32546733979,-410859.72600083717,0.05879952108271943,-0.009607102258026884,0.005403639631689454,-0.6417018657886857,-0.05879952108271943,0.6417018657886857,0.0
altitude__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,113556.46710914589,-478990.84958255023,-0.0037936602998796757,0.00450257307227984,0.005519914145087515,0.007491973622167254,0.0037936602998796757,-0.007491973622167254,0.0
vertical_speed__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-97462.84551486783,411106.56112434494,-0.05861775655473433,0.009394676677657624,-0.005534839932473147,0.6416134624620524,0.05861775655473433,-0.6416134624620524,0.0
heading__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-626.5592977002832,2642.8572000604277,-0.0017193916902872109,0.001090084150855564,0.0037650523889717325,-0.0023995266207535986,0.0017193916902872109,0.0023995266207535986,0.0
command_roll__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,480457.4096476313,-2026609.9509499767,-0.07641413549380158,0.035367692456890955,0.10068701184743721,-0.10763853319231052,0.07641413549380158,0.10763853319231052,0.0
